suite,family,scale,split,time_limit,solver_seeds,path,relative_path,instance,method,seed,training_seed,run_label,stability_profile,lexicographic_schedule_stability,schedule_stability_mode,lexicographic_stability_time_limit,warm_start,started_at,status,primary_status,stability_status,solving_time,end_to_end_time,cutsel_callback_calls,cutsel_callback_time,cutsel_feature_time,cutsel_device_transfer_time,cutsel_policy_inference_time,cutsel_structure_rerank_time,cutsel_root_calls,cutsel_nonroot_calls,nodes,gap,primal_dual_integral,best_objective,schedule_total_wait,schedule_max_wait,schedule_cadence_cv,schedule_cadence_deviation_sum,n_solutions,has_incumbent,solution_file,solution_write_error,acs_weights,acs_weight_source,policy_model,feature_dim,structure_rerank,decode_type,error
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n008_f008_m000_proc100.lp,pure41\cie_core_n008_f008_m000_proc100.lp,cie_core_n008_f008_m000_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:29,optimal,optimal,optimal,0.38242329999775393,0.41687130000354955,1,0.3453804000018863,0.005999565124511719,0.0,0.33658456802368164,0.002000570297241211,1,0,1.0,0.0,0.0,610.000001,400.0,58.0,0.0,0.0,3,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n008_f008_m000_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n016_f016_m000_proc100.lp,pure41\cie_core_n016_f016_m000_proc100.lp,cie_core_n016_f016_m000_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:29,optimal,optimal,optimal,0.27402779999829363,0.33184699999401346,1,0.012960300002305303,0.005999565124511719,0.0,0.00500178337097168,0.001997709274291992,1,0,1.0,0.0,0.0,944.000001,924.0,58.0,0.0,0.0,1,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n016_f016_m000_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n024_f024_m000_proc100.lp,pure41\cie_core_n024_f024_m000_proc100.lp,cie_core_n024_f024_m000_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:29,optimal,optimal,optimal,2.2501693000012892,2.423936799998046,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,300.0,1268.000001,1448.0,58.0,0.0,0.0,3,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n024_f024_m000_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\pure41\cie_core_n032_f032_m000_proc100.lp,pure41\cie_core_n032_f032_m000_proc100.lp,cie_core_n032_f032_m000_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:32,optimal,optimal,optimal,7.190207199993893,7.462274700003036,1,0.01580439999816008,0.006000518798828125,0.0010001659393310547,0.006000518798828125,0.0019991397857666016,1,0,1.0,0.0,700.0,1592.000001,1972.0,58.0,0.0,0.0,3,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n032_f032_m000_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f000_m008_proc100.lp,spbs\cie_core_n008_f000_m008_proc100.lp,cie_core_n008_f000_m008_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:39,optimal,optimal,optimal,0.5169591000012588,0.5458012999952189,1,0.018731900003331248,0.0049991607666015625,0.001999378204345703,0.009001970291137695,0.0019989013671875,1,0,754.0,0.0,92.69058649662122,768.000001,32.00000000000273,1.0231815394945443e-12,0.0,0.0,1,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n008_f000_m008_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f002_m006_proc100.lp,spbs\cie_core_n008_f002_m006_proc100.lp,cie_core_n008_f002_m006_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:40,optimal,optimal,optimal,0.5991580999980215,0.6226444000058109,1,0.015261500004271511,0.0069997310638427734,0.0010001659393310547,0.004998922348022461,0.0020008087158203125,1,0,706.0,0.0,0.0,900.000001,648.0,76.0,0.1711468642362344,0.0,1,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n008_f002_m006_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f004_m004_proc100.lp,spbs\cie_core_n008_f004_m004_proc100.lp,cie_core_n008_f004_m004_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:40,optimal,optimal,optimal,0.39518640000460437,0.45342530000198167,1,0.020119100001465995,0.004999637603759766,0.003999233245849609,0.009002447128295898,0.0019981861114501953,1,0,457.0,0.0,100.0,834.000001,241.99999500000342,57.999999000000344,2.7173894365131217e-09,0.0,3,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n008_f004_m004_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n008_f006_m002_proc100.lp,spbs\cie_core_n008_f006_m002_proc100.lp,cie_core_n008_f006_m002_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:41,optimal,optimal,optimal,0.6501873000015621,0.6816271999996388,1,0.015732100000604987,0.005998373031616211,0.0,0.008000612258911133,0.0019991397857666016,1,0,1787.0,0.0,2.6378896882494005,834.000001,308.0,58.0,0.0,0.0,1,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n008_f006_m002_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f000_m016_proc100.lp,spbs\cie_core_n016_f000_m016_proc100.lp,cie_core_n016_f000_m016_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:22:42,optimal,optimal,optimal,60.947418600000674,61.06113539999933,1,0.017084899998735636,0.005999088287353516,0.0,0.008001089096069336,0.0019989013671875,1,0,96747.0,0.0,2088.8878928634836,1136.000001,214.00000200000068,24.49999949999983,0.0,0.0,1,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n016_f000_m016_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
cie_core_nominal,dual_source_cluster_tool,8_to_32_wafers_nominal_processing,test,600.0,[],D:\git\git\RDMCT-A3C\cie\data\core\spbs\cie_core_n016_f004_m012_proc100.lp,spbs\cie_core_n016_f004_m012_proc100.lp,cie_core_n016_f004_m012_proc100.lp,proposed,4,5,stability_full_trainseed_5,full,True,linear,60.0,auto,2026-08-10T09:23:43,optimal,optimal,optimal,61.251736999998684,61.38324770000327,1,0.01933580000331858,0.0060002803802490234,0.0010001659393310547,0.00899958610534668,0.002000093460083008,1,0,102105.0,0.0,2254.875091653119,1202.0000009999928,790.0,201.0,0.0,0.0,2,True,D:\git\git\RDMCT-A3C\cie\results\stability\cie_stability_600s_mem2048_repro_v1\s4_t5\solutions\cie_core_nominal__cie_core_n016_f004_m012_proc100__proposed__solverseed_4__trainseed_5__stability_full_trainseed_5.sol,,,,D:\git\git\RDMCT-A3C\cie\models\proposed\cie_proposed_all_cie_proposed\cie_proposed_all_cie_proposed_2026_08_02_15_28_19_0000--s-5\itr_60.pkl,23,True,beam_search,
